Sentiment,Headline
positive,"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 ."
neutral,"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares ."
neutral,The parties have agreed not to disclose the transaction value .
neutral,"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars ."
positive,Sales of clothing developed best .
neutral,Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .
negative,"The shipping industry is experimenting with foils, sails and fuel to make itself less carbon intensive."
positive,It is a solid credit that has been compared to a DZ Bank or a Rabobank .
neutral,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing ."
positive,"On Wednesday he announced that the government would propose granting a licence for two reactors , one to be built by Fennovoima , and the other by TVO ."
negative,"Presidential candidate Lula is ahead in the polls, despite a legacy tainted by corruption scandals."
neutral,"We offer challenging and interesting employment for over 20,000 people in 20 countries throughout Europe ."
neutral,The carrier said its Area travel agency is to sell most of its outlets to sister chain Suomen Matkatoimisto (SMT)and use its remaining bricks-and-mortar presence to primarily target business customers going forward .
positive,Hwang Hee-chan scores a late winner for South Korea to beat Portugal 2-1 and reach the last 16 of the World Cup.
negative,Former England wing Ugo Monye expresses concern about the potential knock-on effect of Wasps and Worcester's financial difficulties.
neutral,"MeeGo `` learns as you use it , '' Fisher said , putting the most important things up top ."
neutral,Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market .
neutral,Metso 's delivery will include a complete coated board line with related air systems and two winders .
neutral,An Android app will be coming soon .
positive,Warren Gatland says he is putting his legacy on the line by agreeing to become Wales coach for a second time as he replaces Wayne Pivac.
negative,"That 's what I go to bed worrying about every night , ' he said ."
neutral,Merging the two free sheets will clarify the market situation .
negative,Watch highlights as Papua New Guinea set up a Rugby League World Cup quarter-final clash with England after beating Wales 36-0 on a wet night in Doncaster.
neutral,Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .
negative,There were no bombshells about the Royal Family in the first half of the Harry and Meghan series.
negative,Customers who do not receive furniture orders by 25 November should submit a claim for a refund.
negative,"Over 40 arrests were made across six countries, dismantling a massive criminal network, police say."
negative,"Jim Redmond, who famously helped his injured son Derek cross the 400m finish line at the 1992 Barcelona Olympics, has died aged 81."
positive,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .
negative,Here's what you need to know about Liz Truss and why she resigned as prime minister.
negative,"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 ."
neutral,The first stage of the contract covers 133 stores and 600 cash registers .
neutral,The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .
neutral,The company did not disclose the price of the acquisition .
neutral,All depends on financing .
neutral,"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ."
negative,Welsh students say rising bills and inflation is leading to awkward conversations with housemates.
neutral,Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .
negative,"The family of Lisa Dorrian say she does not deserve to be out there alone, as Crimestoppers offer ÃÂ£20,000."
positive,France's Kylian Mbappe beats Argentina's Lionel Messi to the World Cup Golden Boot award in the final.
negative,"Hundreds of thousands are without power in the state, while millions more are at risk from flooding."
positive,The trust has apologised to a woman for failing to admit a surgeon was responsible for a massive haemorrhage.
negative,"France captain Hugo Lloris says ""it was not easy to find the words"" when he texted Tottenham team-mate Harry Kane after England's World Cup exit."
negative,The Stop Loan Sharks agency is warning against illegal lenders as families struggle with price rises.
negative,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition ."
positive,"Pupils needing language support rises by 10% in post-pandemic school starters, BBC analysis finds."
neutral,"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 ."
negative,Residents described the heartache of not knowing where their family members are buried.
negative,"From disputed polls to ""conspirituality"", Brazil's presidential run-off has split society."
neutral,"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 ."
negative,"Christine McVie, who played with Fleetwood Mac and wrote some of their most famous songs, has died."
positive,Thousands have come to Las Vegas for one of the world's largest technology shows.
neutral,"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance ."
positive,"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster ."
positive,Manchester United's derby thrashing is a cold shower for anyone at Old Trafford thinking they might be moving closer to the side they hope to challenge.
neutral,1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .
negative,"Health officials investigate possible Step A links to child's death, as police inquiry continues."
negative,The party goes off in Buenos Aires as Argentina celebrates but in Paris there is disappointment.
negative,"One of the world's biggest football clubs is at the centre of takeover speculation, with a deal potentially fetching ÃÂ£4billion."
positive,A scientist says his recordings of 53 marine species changes what we know about the evolution of sounds.
neutral,Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .
positive,Interest rates are at their highest level for 14 years. Here is what it means for you.
negative,"Manchester United's American owners the Glazer family say they are considering selling the club as they ""explore strategic alternatives""."
positive,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million ."
positive,Some teachers have already voted in favour of strike action over demands for higher pay.
positive,South Africa's Cyril Ramaphosa is welcomed to London as Charles III hosts his first state visit as King.
neutral,"MANAVIGATOR-November 1 , 2010-Deal snapshot : SWEDISH PEAB BUYS EQUIPMENT RENTAL FIRM CRAMO Swedish construction company Peab AB ( STO : PEAB B ) announced the acquisition of equipment rental company Cramo Entreprenadmaskiner AB from Finnish group Cramo Oyj ( HEL : CRA1V ) ."
negative,The alleged murder of 15-year-old Cassius Turvey has caused grief and anger across Australia.
neutral,"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities ."
neutral,The company closed last year with a turnover of about four million euros .
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 ."
neutral,"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards ."
